model,sum_AIC,sum_BIC
parabolic_1K1B,3565.22433968375,3879.58610951627
parabolic_1K2B,4745.39246424315,5216.93511899194
parabolic_2K1B,3582.77561708779,4054.31827183657
parabolic_2K2B,4913.3920637049,5542.11560336995
linear_1K1B,2795.28604484394,3109.64781467647
linear_1K2B,4336.54011049482,4808.0827652436
linear_2K1B,3177.17657464103,3648.71922938982
linear_2K2B,4504.54011052116,5133.26365018621
hyperbolic_1K1B,2896.3140522507,3210.67582208322
hyperbolic_1K2B,4371.53428767455,4843.07694242334
hyperbolic_2K1B,3108.51716607811,3580.05982082689
hyperbolic_2K2B,4539.53428472945,5168.2578243945
